Year,Net_FCFE
2025,-24928203.037561942
2026,980601.8618054048
2027,1142652.7384056249
2028,1386835.8520196073
2029,1674945.1560589927
2030,2092308.5169070906
2031,2437855.744787042
2032,2819152.703419298
2033,1713127.9170227936
2034,2068082.4612975714
2035,2460533.650542044
2036,4109741.438952869
2037,4575775.915292908
2038,4761211.449034003
2039,4824849.390992041
2040,5016018.539384694
2041,4910792.124432822
2042,5095228.3026014175
2043,5287369.727391127
2044,5487718.244040588
2045,5696619.051130978
2046,0
2047,0
2048,0
2049,0
